Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1986-01-02,0.0012769691177,9.7470518214e-11,9.2738474293e-11,9.2738474293e-11,9.7494294169e-11,9.5996205283e-11
1986-01-03,0.0023590212771,1.2127338469e-10,9.9872199678e-11,9.7732080291e-11,1.2151117081e-10,1.1592308622e-10
1986-01-06,0.003176712862,1.2840711893e-10,1.2129716064e-10,1.2129716064e-10,1.3197398163e-10,1.2838334298e-10
1986-01-07,0.0019051082799,1.1891925514e-10,1.2840711893e-10,1.1889547918e-10,1.3078502444e-10,1.2436466628e-10
1986-01-08,0.0024938338449,1.1176174493e-10,1.2127338469e-10,1.0700593392e-10,1.2127338469e-10,1.1169041707e-10
1986-01-09,0.0022135203325,1.141396593e-10,1.1176174493e-10,1.1176174493e-10,1.2127338469e-10,1.1549506588e-10
1986-01-10,0.0025422244296,1.1889547918e-10,1.141396593e-10,1.1199953991e-10,1.2008443637e-10,1.1701693073e-10
1986-01-13,0.0011293309504,1.0938383943e-10,1.1889547918e-10,1.0462801955e-10,1.1889547918e-10,1.1073924601e-10
1986-01-14,0.0012272400075,1.1176174493e-10,1.0700593392e-10,1.0346283832e-10,1.1176174493e-10,1.0655412877e-10
1986-01-15,0.002695169552,1.1295070212e-10,1.0700593392e-10,1.0462801955e-10,1.141396593e-10,1.097880838e-10
1986-01-16,0.0014338371378,1.1176174493e-10,1.1176174493e-10,1.0938383943e-10,1.1651756481e-10,1.1249890583e-10
1986-01-17,0.0011769014641,1.141396593e-10,1.1176174493e-10,1.0462801955e-10,1.1651756481e-10,1.0981185976e-10
1986-01-20,0.0010913625374,1.0819488224e-10,1.1411588335e-10,1.0700593392e-10,1.141396593e-10,1.0988319648e-10
1986-01-21,0.0014074727712,1.0819488224e-10,1.1532861648e-10,1.0700593392e-10,1.1651756481e-10,1.1023988895e-10
1986-01-22,0.0025014436386,1.0225011404e-10,1.0938383943e-10,1.0225011404e-10,1.1176174493e-10,1.0605476285e-10
1986-01-23,0.001821393091,1.0938383943e-10,1.0225011404e-10,1.0225011404e-10,1.0940761538e-10,1.0738639348e-10
1986-01-24,0.0020847530722,1.1295070212e-10,1.1176174493e-10,1.0938383943e-10,1.1295070212e-10,1.1047767507e-10
1986-01-27,0.0013481723839,1.0938383943e-10,1.1283181349e-10,1.0700593392e-10,1.1295070212e-10,1.085277899e-10
1986-01-28,0.00089842998858,1.0225011404e-10,1.0700593392e-10,9.9872199678e-11,1.0700593392e-10,1.0236900267e-10
1986-01-29,0.0019355222204,9.5116379802e-11,1.0225011404e-10,9.5116379802e-11,1.0225011404e-10,9.7018704209e-11
1986-01-30,0.0014528210331,9.2738474293e-11,9.5116379802e-11,9.0360559926e-11,9.7494294169e-11,9.3095166763e-11
1986-01-31,0.00083777692905,9.9872199678e-11,9.0360559926e-11,9.0360559926e-11,1.0225011404e-10,9.5187716524e-11
1986-02-03,0.0020412040879,1.0581697673e-10,9.7494294169e-11,9.7494294169e-11,1.0938383943e-10,1.0605476285e-10
1986-02-04,0.0013423964758,1.0462801955e-10,1.0700593392e-10,1.0462801955e-10,1.141396593e-10,1.0833756454e-10
1986-02-05,0.0013465538011,1.0462801955e-10,1.0462801955e-10,9.5116379802e-11,1.0700593392e-10,1.0477070185e-10
1986-02-06,0.0018435409516,1.1057279661e-10,1.0462801955e-10,1.0462801955e-10,1.141396593e-10,1.0781442268e-10
1986-02-07,0.0022754339877,1.1176174493e-10,1.1192820319e-10,1.1057279661e-10,1.2484024738e-10,1.17706522e-10
1986-02-13,0.0022043082083,1.1411588335e-10,1.1176174493e-10,1.0700593392e-10,1.1651756481e-10,1.1385431241e-10
1986-02-14,0.0028331855339,1.2365129906e-10,1.141396593e-10,1.141396593e-10,1.2365129906e-10,1.2134472141e-10
1986-02-17,0.0026041705291,1.3789498273e-10,1.2365129906e-10,1.2365129906e-10,1.4272213047e-10,1.3806143213e-10
1986-02-18,0.0024869294336,1.3791874983e-10,1.3791874983e-10,1.2959606726e-10,1.4101003142e-10,1.3494636573e-10
1986-02-19,0.0026578328931,1.3197398163e-10,1.3554084432e-10,1.2840711893e-10,1.3791874983e-10,1.3247333868e-10
1986-02-20,0.0036323202209,1.3791874983e-10,1.3078502444e-10,1.3076124849e-10,1.426745697e-10,1.3275869443e-10
1986-02-21,0.0027977112895,1.3316293881e-10,1.3316293881e-10,1.3078502444e-10,1.3556462027e-10,1.3375740854e-10
1986-02-24,0.0027701823184,1.2127338469e-10,1.3316293881e-10,1.1889547918e-10,1.3435188713e-10,1.2196298482e-10
1986-02-25,0.0022114917136,1.2365129906e-10,1.1889547918e-10,1.1651756481e-10,1.2602920457e-10,1.1906192858e-10
1986-02-26,0.0047491996383,1.3078502444e-10,1.3078502444e-10,1.2840711893e-10,1.4743038958e-10,1.3815654481e-10
1986-02-27,0.0025884194031,1.2602920457e-10,1.3078502444e-10,1.1889547918e-10,1.426745697e-10,1.3366229587e-10
1986-03-04,0.0032798796355,8.560474005e-11,1.2365129906e-10,7.3715194789e-11,1.2365129906e-10,8.1324510134e-11
1986-03-05,0.00408483639,7.8471014665e-11,8.3226834541e-11,7.1337284851e-11,8.3226834541e-11,7.6116876253e-11
1986-03-06,0.0041730145546,6.6581469405e-11,7.8471014665e-11,5.9447739591e-11,7.8471014665e-11,6.6486347869e-11
1986-03-07,0.0049925089746,8.0848929033e-11,7.6330895278e-11,7.6093109157e-11,8.7982654417e-11,7.9493513591e-11
1986-03-10,0.0013194657836,8.0848929033e-11,8.0848929033e-11,7.8471014665e-11,8.3226834541e-11,8.1158051877e-11
1986-03-11,0.00078800041638,8.0896480942e-11,8.0848929033e-11,8.0848929033e-11,9.2738474293e-11,8.6032769243e-11
1986-03-12,0.0014042918694,8.0848929033e-11,8.0848929033e-11,8.0325778305e-11,8.560474005e-11,8.1562296256e-11
1986-03-13,0.0010977748377,7.6093109157e-11,8.0848929033e-11,7.1337284851e-11,8.560474005e-11,7.6949158683e-11
1986-03-14,0.0028038264191,7.6093109157e-11,7.6093109157e-11,6.8959374914e-11,7.6093109157e-11,7.3810316325e-11
1986-03-17,0.001373289601,7.1337284851e-11,7.3715194789e-11,7.0386122648e-11,7.6140661066e-11,7.2050656504e-11
1986-03-18,0.0017366196579,7.1337284851e-11,7.1337284851e-11,6.6581469405e-11,7.6140661066e-11,7.1004381624e-11
1986-03-19,0.002327407117,7.1337284851e-11,7.1337284851e-11,6.8911818575e-11,7.1337284851e-11,7.1242167745e-11
1986-03-20,0.001389649587,7.8471014665e-11,7.1337284851e-11,6.8959374914e-11,7.8471014665e-11,7.3810316325e-11
1986-03-21,0.0020420586641,1.0938383943e-10,7.8471014665e-11,7.8471014665e-11,1.1176174493e-10,1.0277325591e-10
1986-03-24,0.0025115893309,8.560474005e-11,1.0700593392e-10,8.560474005e-11,1.2365129906e-10,1.1223733489e-10
1986-03-25,0.0017859139134,1.0462801955e-10,9.5116379802e-11,9.5116379802e-11,1.0938383943e-10,1.0191720638e-10
1986-03-26,0.0018887031595,9.9872199678e-11,1.0938383943e-10,9.5116379802e-11,1.0938383943e-10,1.0034778078e-10
1986-03-31,0.0011306279566,9.0360559926e-11,9.5116379802e-11,8.560474005e-11,1.0225011404e-10,9.4117665689e-11
1986-04-01,0.0023121287679,8.560474005e-11,8.5652300818e-11,7.6093109157e-11,9.0360559926e-11,8.0230674486e-11
1986-04-02,0.0013692091481,8.0848929033e-11,8.560474005e-11,7.6140661066e-11,8.7982654417e-11,8.1895203913e-11
1986-04-03,0.0014125006616,7.6093109157e-11,8.0848929033e-11,7.1337284851e-11,8.0848929033e-11,7.4238336659e-11
1986-04-04,0.0011057159421,8.560474005e-11,7.6140661066e-11,7.6140661066e-11,8.5652300818e-11,8.3321956077e-11
1986-04-07,0.0015665792735,8.0848929033e-11,8.560474005e-11,7.6093109157e-11,8.7982654417e-11,8.042089984e-11
1986-04-08,0.0018987724582,8.0848929033e-11,8.0848929033e-11,7.1337284851e-11,8.0848929033e-11,7.8423453898e-11
1986-04-09,0.0013969890619,7.6093109157e-11,8.0848929033e-11,7.1289728513e-11,8.0848929033e-11,7.5427284984e-11
1986-04-10,0.0020447902458,7.6093109157e-11,7.6093109157e-11,7.1337284851e-11,7.6093109157e-11,7.3524965006e-11
1986-04-11,0.0013821455676,7.6093109157e-11,7.3715194789e-11,7.1289728513e-11,7.6093109157e-11,7.4904151973e-11
1986-04-14,0.002150266801,7.3715194789e-11,7.3715194789e-11,6.6581469405e-11,7.6093109157e-11,7.3524965006e-11
1986-04-15,0.0024083853539,7.1337284851e-11,7.6093109157e-11,6.6581469405e-11,7.6093109157e-11,6.9958097885e-11
1986-04-16,0.0019957837613,7.1337284851e-11,6.8959374914e-11,6.6581469405e-11,7.1337284851e-11,6.6866816294e-11
1986-04-17,0.0019735754377,7.2288451484e-11,6.8959374914e-11,6.4203559467e-11,7.3762755557e-11,6.8436237473e-11
1986-04-18,0.0025317467174,7.3715194789e-11,7.1289728513e-11,6.4203559467e-11,7.3715194789e-11,6.9292282571e-11
1986-04-22,0.0022424053821,7.6093109157e-11,7.3715194789e-11,7.1337284851e-11,8.4653577847e-11,7.4000546108e-11
1986-04-23,0.0019173035702,7.6045548389e-11,7.6093109157e-11,6.8959374914e-11,7.6093109157e-11,7.2906706031e-11
1986-04-24,0.0029811986794,8.560474005e-11,7.3715194789e-11,7.1337284851e-11,8.560474005e-11,7.6758915612e-11
1986-04-25,0.0020325763014,8.560474005e-11,8.560474005e-11,8.3179273774e-11,8.560474005e-11,8.4891372827e-11
1986-04-28,0.0031612135553,8.3226834541e-11,8.3226834541e-11,8.0801368265e-11,8.560474005e-11,8.1467174721e-11
1986-04-29,0.0019724335215,8.3226834541e-11,8.560474005e-11,8.0325778305e-11,8.560474005e-11,8.1800091236e-11
1986-04-30,0.0016522397104,7.8471014665e-11,8.3226834541e-11,7.3715194789e-11,8.3226834541e-11,7.7662525907e-11
1986-05-02,0.00094408781343,7.8471014665e-11,7.8471014665e-11,7.6045548389e-11,8.3226834541e-11,7.7947872796e-11
1986-05-05,0.0012283761819,7.2288451484e-11,7.6093109157e-11,6.8959374914e-11,7.8471014665e-11,7.2336007823e-11
1986-05-06,0.00087896885996,7.3715194789e-11,8.0991602477e-11,6.8959374914e-11,8.0991602477e-11,7.238356859e-11
1986-05-07,0.002031561989,7.6093109157e-11,7.3715194789e-11,6.1873205867e-11,7.6093109157e-11,6.800821271e-11
1986-05-08,0.0010956497661,7.6093109157e-11,7.6093109157e-11,6.6581469405e-11,7.6093109157e-11,7.2954266798e-11
1986-05-09,0.0017421947463,7.7519843604e-11,7.6093109157e-11,6.6581469405e-11,8.0848929033e-11,7.4856591205e-11
1986-05-12,0.0032478215486,7.3715194789e-11,7.6093109157e-11,6.6581469405e-11,7.8471014665e-11,7.4809030438e-11
1986-05-13,0.0014030795805,6.8959374914e-11,7.3715194789e-11,6.4203559467e-11,7.6045548389e-11,6.8674023595e-11
1986-05-14,0.0022756900136,7.2288451484e-11,7.2288451484e-11,6.6581469405e-11,7.3715194789e-11,7.0291005542e-11
1986-05-15,0.0010139808219,7.3715194789e-11,7.1337284851e-11,6.8959374914e-11,7.6093109157e-11,7.1670192509e-11
1986-05-16,0.0010604355574,7.2764032586e-11,7.3715194789e-11,6.6581469405e-11,7.3762755557e-11,6.8721584363e-11
1986-05-19,0.00067834643802,6.8959374914e-11,7.1337284851e-11,6.6629025743e-11,7.2764032586e-11,6.9339843338e-11
1986-05-20,0.001743253474,7.6093109157e-11,6.6629025743e-11,6.6581469405e-11,7.6093109157e-11,7.1147055068e-11
1986-05-21,0.0011245862898,7.1337284851e-11,7.3715194789e-11,6.6581469405e-11,7.3715194789e-11,6.9625194657e-11
1986-05-22,0.0019330460492,7.1337284851e-11,7.1337284851e-11,6.6629025743e-11,7.3667638451e-11,7.0956820856e-11
1986-05-23,0.0014986262595,7.1337284851e-11,7.1337284851e-11,6.6533908637e-11,7.419078032e-11,6.7913095604e-11
1986-05-27,0.0010704476063,7.1384845619e-11,7.1337284851e-11,6.8483793812e-11,7.1384845619e-11,7.0956820856e-11
1986-05-28,0.00099620743139,6.800821271e-11,7.0386122648e-11,5.9447739591e-11,7.1289728513e-11,6.4679140569e-11
1986-05-29,0.00061661937686,6.6581469405e-11,6.8959374914e-11,6.4203559467e-11,7.1337284851e-11,6.7009489739e-11
1986-05-30,0.0018174457951,6.9102048358e-11,6.6581469405e-11,6.2776811732e-11,6.9102048358e-11,6.620100098e-11
1986-06-02,0.00048957080935,6.1825649529e-11,6.8959374914e-11,6.1825649529e-11,6.8959374914e-11,6.5440072989e-11
1986-06-03,0.001004709403,6.4679140569e-11,6.1825649529e-11,6.1825649529e-11,6.6533908637e-11,6.28243725e-11
1986-06-04,0.0012981757145,6.6581469405e-11,6.515472167e-11,6.1825649529e-11,6.6581469405e-11,6.4821814013e-11
1986-06-05,0.00058957552185,6.6581469405e-11,6.6581469405e-11,6.1873205867e-11,6.6581469405e-11,6.4964487458e-11
1986-06-06,0.0019626168392,6.6581469405e-11,6.4203559467e-11,6.4203559467e-11,6.8959374914e-11,6.7817982927e-11
1986-06-09,0.0009339851288,6.6581469405e-11,6.6581469405e-11,6.1825649529e-11,7.0386122648e-11,6.7627748714e-11
1986-06-10,0.0018244451996,6.6581469405e-11,7.0386122648e-11,6.4203559467e-11,7.1337284851e-11,6.7437514502e-11
1986-06-11,0.00077523260858,6.8959374914e-11,6.8959374914e-11,6.1873205867e-11,7.1337284851e-11,6.6866816294e-11
1986-06-12,0.0010728310298,6.9434960445e-11,6.6581469405e-11,6.6581469405e-11,7.1337284851e-11,6.8721584363e-11
1986-06-13,0.0009131514246,6.8959374914e-11,6.8911818575e-11,6.4203559467e-11,7.1337284851e-11,6.6629025743e-11
1986-06-16,0.00069449706656,6.4679140569e-11,6.6581469405e-11,6.4203559467e-11,6.7960656371e-11,6.491692669e-11
1986-06-17,0.0007054573738,6.515472167e-11,6.6581469405e-11,6.4203559467e-11,6.8911818575e-11,6.5297395115e-11
1986-06-18,0.00067611331313,6.4203559467e-11,6.4203559467e-11,6.1825649529e-11,6.6533908637e-11,6.3632861259e-11
1986-06-19,0.00071038456018,6.6581469405e-11,6.4203559467e-11,6.1825649529e-11,6.7057050507e-11,6.5820536984e-11
1986-06-20,0.00060918014824,6.1873205867e-11,6.6581469405e-11,6.1825649529e-11,6.7057050507e-11,6.3823091042e-11
1986-06-23,0.00072741512637,6.1825649529e-11,6.1825649529e-11,5.7069829653e-11,6.6581469405e-11,6.1397624766e-11
1986-06-24,0.0010711788422,6.1825649529e-11,6.2776811732e-11,6.0874487325e-11,6.6581469405e-11,6.2396347737e-11
1986-06-25,0.00077297761086,6.1825649529e-11,6.1825649529e-11,5.9495295929e-11,6.6581469405e-11,6.206344008e-11
1986-06-26,0.00059243892446,6.4203559467e-11,6.1825649529e-11,6.1825649529e-11,6.6581469405e-11,6.4203559467e-11
1986-06-27,0.00099048275296,6.4203559467e-11,6.4203559467e-11,6.1825649529e-11,6.6581469405e-11,6.4203559467e-11
1986-06-30,0.00060051429208,6.4203559467e-11,6.4203559467e-11,5.9447739591e-11,6.4203559467e-11,6.2729250965e-11
1986-07-01,0.0011910040351,6.1730527993e-11,6.4203559467e-11,5.9447739591e-11,7.1337284851e-11,6.28243725e-11
1986-07-02,0.0019855325719,6.1825649529e-11,6.4203559467e-11,5.7069829653e-11,6.4203559467e-11,6.1682976084e-11
1986-07-03,0.00051717338474,5.8020991856e-11,6.1825649529e-11,5.7069829653e-11,6.1825649529e-11,5.8211226069e-11
1986-07-04,0.00072739521848,6.1825649529e-11,5.9447739591e-11,5.7069829653e-11,6.1825649529e-11,5.9970877031e-11
1986-07-07,0.0014454591707,6.1825649529e-11,6.1825649529e-11,5.7117390421e-11,6.1825649529e-11,6.0494018901e-11
1986-07-08,0.00060085885894,6.1825649529e-11,6.1825649529e-11,5.9447739591e-11,6.1825649529e-11,6.0018437799e-11
1986-07-09,0.00041196951454,6.0874487325e-11,6.1825649529e-11,5.9447739591e-11,6.1873205867e-11,6.0731813881e-11
1986-07-10,0.00081996055344,6.4203559467e-11,6.4203559467e-11,6.1825649529e-11,6.6581469405e-11,6.3775534704e-11
1986-07-11,0.00053700935177,6.6581469405e-11,6.6581469405e-11,6.4203559467e-11,6.7532631608e-11,6.6296118086e-11
1986-07-14,0.00082927616648,6.8483793812e-11,6.7057050507e-11,6.6581469405e-11,6.8959374914e-11,6.69619334e-11
1986-07-15,0.00056263498548,6.6581469405e-11,6.6581469405e-11,6.6581469405e-11,6.9434960445e-11,6.7532631608e-11
1986-07-16,0.00060427051213,6.1825649529e-11,6.7294836628e-11,6.1825649529e-11,6.7532631608e-11,6.3585300491e-11
1986-07-17,0.0013678589934,6.1825649529e-11,6.1825649529e-11,5.9447739591e-11,6.4203559467e-11,6.1587854549e-11
1986-07-18,0.0019730646976,6.6629025743e-11,6.1825649529e-11,6.1825649529e-11,6.6629025743e-11,6.4013325254e-11
1986-07-21,0.00090651949048,6.4203559467e-11,6.6581469405e-11,6.230123063e-11,6.6676586511e-11,6.5297395115e-11
1986-07-22,0.00051421287379,6.1825649529e-11,6.4203559467e-11,6.1825649529e-11,6.6581469405e-11,6.4584023462e-11
1986-07-23,0.00047676126283,6.1825649529e-11,6.1825649529e-11,6.1778088761e-11,6.6629025743e-11,6.2111000847e-11
1986-07-24,0.00082164214514,6.1825649529e-11,6.1825649529e-11,5.9447739591e-11,6.4203559467e-11,6.1587854549e-11
1986-07-25,0.00083425641289,6.1825649529e-11,6.230123063e-11,5.9447739591e-11,6.5630302772e-11,6.1968322974e-11
1986-07-28,0.00042180182384,6.1825649529e-11,6.1825649529e-11,5.9447739591e-11,6.1825649529e-11,6.1778088761e-11
1986-07-29,0.0012428145022,6.0874487325e-11,6.1825649529e-11,5.7069829653e-11,6.4203559467e-11,6.2729250965e-11
1986-07-30,0.00063530017414,5.8496577387e-11,6.0874487325e-11,5.7069829653e-11,6.1825649529e-11,6.0398901794e-11
1986-07-31,0.00084796197223,5.9447739591e-11,5.9447739591e-11,5.8496577387e-11,6.1825649529e-11,5.9400178823e-11
1986-08-01,0.0010839027751,5.9447739591e-11,5.920994904e-11,5.8734367938e-11,6.1350063998e-11,5.9495295929e-11
1986-08-04,0.00080936969231,5.9447739591e-11,5.9447739591e-11,5.8734367938e-11,6.1825649529e-11,5.9495295929e-11
1986-08-05,0.00073573624374,5.7069829653e-11,5.9447739591e-11,5.6594244122e-11,6.1825649529e-11,5.7878318412e-11
1986-08-06,0.00089145129903,5.897215406e-11,5.7069829653e-11,5.4691919715e-11,5.9447739591e-11,5.7164946759e-11
1986-08-07,0.00056300273872,5.7164946759e-11,5.897215406e-11,5.7117390421e-11,5.9447739591e-11,5.7497854416e-11
1986-08-08,0.00090101136508,5.7545410755e-11,5.7164946759e-11,5.7069829653e-11,5.9447739591e-11,5.7307620204e-11
1986-08-11,0.0017739727348,6.4203559467e-11,5.8020991856e-11,5.8020991856e-11,6.4203559467e-11,6.258657752e-11
1986-08-12,0.00062032864984,6.515472167e-11,6.3252392834e-11,6.1825649529e-11,6.6581469405e-11,6.3965764487e-11
1986-08-13,0.00044661912126,6.4203559467e-11,6.6581469405e-11,6.0874487325e-11,6.6581469405e-11,6.2396347737e-11
1986-08-14,0.00083565309028,5.6118667449e-11,6.4203559467e-11,5.6118667449e-11,6.4203559467e-11,5.8496577387e-11
1986-08-15,0.00076395273344,6.1825649529e-11,5.7069829653e-11,5.7069829653e-11,6.1825649529e-11,5.9685530142e-11
1986-08-18,0.00058962173833,6.1825649529e-11,6.1825649529e-11,5.8020991856e-11,6.1825649529e-11,6.0398901794e-11
1986-08-19,0.0010875904516,6.1778088761e-11,6.1825649529e-11,5.8496577387e-11,6.6581469405e-11,6.0874487325e-11
1986-08-20,0.00057356807069,6.1825649529e-11,6.1778088761e-11,5.9447739591e-11,6.1825649529e-11,6.0731813881e-11
1986-08-21,0.0020534239589,6.1825649529e-11,6.1350063998e-11,5.8496577387e-11,6.1825649529e-11,6.0589136007e-11
1986-08-22,0.0017648874215,6.1825649529e-11,6.0874487325e-11,5.8496577387e-11,6.1825649529e-11,6.0636692345e-11
1986-08-25,0.00089668553187,5.9447739591e-11,6.1825649529e-11,5.8020991856e-11,6.1825649529e-11,5.8829480615e-11
1986-08-26,0.00087375013215,6.1825649529e-11,5.9447739591e-11,5.9447739591e-11,6.1825649529e-11,6.0446462562e-11
1986-08-27,0.0003724722403,6.1825649529e-11,6.1825649529e-11,5.8496577387e-11,6.1825649529e-11,6.1350063998e-11
1986-08-28,0.0010166375725,6.1825649529e-11,6.1825649529e-11,5.8496577387e-11,6.2776811732e-11,6.0826926558e-11
1986-08-29,0.0015491526442,6.4203559467e-11,6.1825649529e-11,6.0874487325e-11,6.6581469405e-11,6.3537739723e-11
1986-09-01,0.001165108564,6.6581469405e-11,6.515472167e-11,6.0874487325e-11,6.6581469405e-11,6.4964487458e-11
1986-09-02,0.00081010944867,6.6581469405e-11,6.6533908637e-11,6.2776811732e-11,7.1337284851e-11,6.6343674425e-11
1986-09-03,0.00084807865509,6.4203559467e-11,6.6581469405e-11,6.2776811732e-11,6.6581469405e-11,6.3918208148e-11
1986-09-04,0.00063350850144,6.4203559467e-11,6.4203559467e-11,6.1825649529e-11,6.4203559467e-11,6.3490187814e-11
1986-09-05,0.0011356888047,6.4203559467e-11,6.515472167e-11,6.1825649529e-11,6.515472167e-11,6.3014602283e-11
1986-09-08,0.00095063794063,6.1825649529e-11,6.1825649529e-11,6.0874487325e-11,6.4203559467e-11,6.206344008e-11
1986-09-09,0.00042371407194,5.9447739591e-11,6.1825649529e-11,5.9447739591e-11,6.1825649529e-11,6.0208667582e-11
1986-09-10,0.00072519994614,5.9447739591e-11,5.9447739591e-11,5.7069829653e-11,6.230123063e-11,5.9590413036e-11
1986-09-11,0.00057637937495,6.1825649529e-11,6.1825649529e-11,5.9447739591e-11,6.1825649529e-11,5.9875764354e-11
1986-09-12,0.00033310925907,6.1825649529e-11,6.1825649529e-11,5.9447739591e-11,6.1825649529e-11,6.1730527993e-11
1986-09-15,0.0014596738507,6.1825649529e-11,6.1825649529e-11,6.1825649529e-11,6.4203559467e-11,6.2015879312e-11
1986-09-16,0.00089448818031,6.1873205867e-11,6.1825649529e-11,6.1825649529e-11,6.4203559467e-11,6.1968322974e-11
1986-09-17,0.00097914205269,6.1825649529e-11,6.1825649529e-11,6.1825649529e-11,6.3252392834e-11,6.1873205867e-11
1986-09-18,0.0010550322993,6.3252392834e-11,6.3252392834e-11,6.1778088761e-11,6.4203559467e-11,6.28243725e-11
1986-09-19,0.00055908494318,6.1825649529e-11,6.3252392834e-11,6.0398901794e-11,6.4203559467e-11,6.2443904075e-11
1986-09-22,0.00096604327326,5.9447739591e-11,6.6105883874e-11,5.9447739591e-11,6.6105883874e-11,6.2491464843e-11
1986-09-23,0.00059683351394,6.1825649529e-11,5.9447739591e-11,5.8496577387e-11,6.1825649529e-11,5.9590413036e-11
1986-09-24,0.00073689979568,6.1825649529e-11,6.1825649529e-11,5.9447739591e-11,6.1825649529e-11,5.9828203586e-11
1986-09-25,0.00063528443792,6.1825649529e-11,6.1825649529e-11,5.9447739591e-11,6.230123063e-11,6.0351341027e-11
1986-09-26,0.0011440306572,6.1825649529e-11,6.1825649529e-11,5.9447739591e-11,6.1825649529e-11,6.1207390553e-11
1986-09-29,0.00066367962192,6.1825649529e-11,6.1825649529e-11,5.7069829653e-11,6.4203559467e-11,5.9828203586e-11
1986-09-30,0.00088389703399,6.1825649529e-11,5.9447739591e-11,5.7069829653e-11,6.1825649529e-11,5.8116108963e-11
1986-10-01,0.0017109446448,6.1825649529e-11,6.1825649529e-11,5.9447739591e-11,6.230123063e-11,6.1492741872e-11
1986-10-02,0.0013176524498,6.1920766635e-11,6.1825649529e-11,6.1825649529e-11,6.4203559467e-11,6.1920766635e-11
1986-10-03,0.00092907610394,6.3727973936e-11,6.2776811732e-11,6.1825649529e-11,6.4679140569e-11,6.3680417597e-11
1986-10-06,0.00079972633676,6.6581469405e-11,6.4203559467e-11,6.1825649529e-11,6.6581469405e-11,6.5249838776e-11
1986-10-07,0.0015447271277,7.1812870383e-11,6.6581469405e-11,6.6581469405e-11,7.1812870383e-11,7.0386122648e-11
1986-10-08,0.005691669492,7.6093109157e-11,7.2764032586e-11,7.2764032586e-11,7.6093109157e-11,7.5807753409e-11
1986-10-09,0.0010324117987,7.1384845619e-11,7.6093109157e-11,7.1337284851e-11,7.6093109157e-11,7.2811593354e-11
1986-10-10,0.0016320979518,7.1337284851e-11,7.1337284851e-11,7.0386122648e-11,7.3715194789e-11,7.1147055068e-11
1986-10-13,0.00053031349646,7.1384845619e-11,7.1337284851e-11,6.8959374914e-11,7.1384845619e-11,7.1289728513e-11
1986-10-14,0.0014751326943,7.1337284851e-11,7.1337284851e-11,7.1337284851e-11,7.3715194789e-11,7.1337284851e-11
1986-10-15,0.00089438725274,7.1384845619e-11,7.3239613688e-11,6.8959374914e-11,7.3239613688e-11,7.1337284851e-11
1986-10-16,0.00050683585425,7.3715194789e-11,7.1337284851e-11,6.8959374914e-11,7.3715194789e-11,7.1384845619e-11
1986-10-17,0.0011431314254,7.8471014665e-11,7.6093109157e-11,7.5617519197e-11,7.8471014665e-11,7.6140661066e-11
1986-10-20,0.0015253464608,7.8471014665e-11,7.8471014665e-11,7.3715194789e-11,7.8471014665e-11,7.7139384037e-11
1986-10-21,0.00173685529,8.0848929033e-11,7.8471014665e-11,7.8471014665e-11,8.1800091236e-11,7.9089269212e-11
1986-10-22,0.0010300934149,8.7982654417e-11,8.3226834541e-11,8.0848929033e-11,8.7982654417e-11,8.4938933594e-11
1986-10-23,0.0012875038768,8.7982654417e-11,8.560474005e-11,8.5129158948e-11,8.7982654417e-11,8.5937647707e-11
1986-10-24,0.0022130884437,9.5116379802e-11,8.7982654417e-11,8.7982654417e-11,9.5116379802e-11,9.0217886481e-11
1986-10-27,0.0015425358834,9.5116379802e-11,9.5116379802e-11,8.7982654417e-11,9.9872199678e-11,9.5259062105e-11
1986-10-28,0.00066369166789,9.5116386446e-11,9.5116386446e-11,9.5056935486e-11,9.5116386446e-11,9.5116386446e-11
1986-10-29,0.00019321166219,9.2143993487e-11,9.5116386446e-11,8.9171606064e-11,9.5116386446e-11,9.1727864452e-11
1986-10-30,0.0010920597923,8.5010265888e-11,8.0254449333e-11,8.0254449333e-11,8.5010265888e-11,8.2632354842e-11
1986-10-31,0.0015998392847,9.2738475401e-11,8.5010265888e-11,8.5010265888e-11,9.2738475401e-11,9.0182222549e-11
1986-11-03,0.0010792048125,9.5116386446e-11,9.2143993487e-11,9.2143993487e-11,9.5116386446e-11,9.2560128058e-11
1986-11-04,0.00071610188919,9.5116386446e-11,9.5116386446e-11,9.2143993487e-11,9.5116386446e-11,9.3154604435e-11
1986-11-05,0.0016545405608,9.5116386446e-11,9.5116386446e-11,9.3332946241e-11,9.8088768332e-11,9.5056935486e-11
1986-11-06,0.00060993635773,9.5116386446e-11,9.8088768332e-11,9.3927433691e-11,9.8088768332e-11,9.4403008149e-11
1986-11-07,0.0008937354775,9.5116386446e-11,9.5116386446e-11,9.2143993487e-11,9.5116386446e-11,9.4759691761e-11
1986-11-10,0.0009478422316,9.8088768332e-11,9.5116386446e-11,9.2143993487e-11,9.8088768332e-11,9.5235277292e-11
1986-11-11,0.0011817915831,9.9931648423e-11,9.8088768332e-11,9.8088768332e-11,1.0106116129e-10,9.9991099383e-11
1986-11-12,0.00081206074063,1.058169723e-10,1.0106116129e-10,1.0106116129e-10,1.058169723e-10,1.0177452851e-10
1986-11-13,0.0010403740012,1.0700592506e-10,1.0700592506e-10,1.0403354317e-10,1.0730316878e-10,1.0641144868e-10
